2021-1-31, 14:28:56, temps : 0.016687, offset : 3283918848, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.016776, offset : 3283898368, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.016867, offset : 3283890176, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.016957, offset : 3283881984, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.017030, offset : 3283849216, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.017097, offset : 3283824640, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.017171, offset : 3283804160, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.017239, offset : 3283791872, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.017305, offset : 3283783680, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.017371, offset : 3283755008, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.017440, offset : 3283718144, cur_bytes : 24576 , bytes : 24576, 
2021-1-31, 14:28:56, temps : 0.017506, offset : 3283681280, cur_bytes : 20480 , bytes : 20480, 
2021-1-31, 14:28:56, temps : 0.017574, offset : 3283660800, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.017639, offset : 3283652608, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.017706, offset : 3283632128, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.017774, offset : 3283607552, cur_bytes : 16384 , bytes : 16384, 
2021-1-31, 14:28:56, temps : 0.017870, offset : 3283591168, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.017955, offset : 3283574784, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.018040, offset : 3283558400, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.018121, offset : 3283550208, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.022215, offset : 3283525632, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.022285, offset : 3283517440, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.022342, offset : 3283492864, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.022421, offset : 3283468288, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.022545, offset : 3283460096, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000312, offset : 3286114304, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000314, offset : 3286450176, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000375, offset : 3286904832, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000452, offset : 3287080960, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000514, offset : 3287093248, cur_bytes : 65536 , bytes : 65536, 
2021-1-31, 14:28:56, temps : 0.000572, offset : 3287171072, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000599, offset : 3287646208, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000622, offset : 3287932928, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000667, offset : 3287969792, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000724, offset : 3288002560, cur_bytes : 139264 , bytes : 139264, 
2021-1-31, 14:28:56, temps : 0.002274, offset : 3287916544, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002342, offset : 3287851008, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002411, offset : 3287826432, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002479, offset : 3287785472, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002548, offset : 3287666688, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002627, offset : 3287543808, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002697, offset : 3287482368, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002767, offset : 3287404544, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.005505, offset : 3287306240, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.005571, offset : 3287203840, cur_bytes : 69632 , bytes : 69632, 
2021-1-31, 14:28:56, temps : 0.005660, offset : 3286913024, cur_bytes : 163840 , bytes : 163840, 
2021-1-31, 14:28:56, temps : 0.005744, offset : 3286343680, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.005829, offset : 3286331392, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.005911, offset : 3286294528, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.006031, offset : 3286265856, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.006105, offset : 3286212608, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.006187, offset : 3286188032, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.006262, offset : 3286138880, cur_bytes : 36864 , bytes : 36864, 
2021-1-31, 14:28:56, temps : 0.007628, offset : 3286130688, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.007757, offset : 3286085632, cur_bytes : 20480 , bytes : 20480, 
2021-1-31, 14:28:56, temps : 0.007852, offset : 3286069248, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.007936, offset : 3286044672, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.008018, offset : 3286032384, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008101, offset : 3286011904, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.008184, offset : 3285979136, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008268, offset : 3285966848, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.008350, offset : 3285954560, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008429, offset : 3285929984, cur_bytes : 20480 , bytes : 20480, 
2021-1-31, 14:28:56, temps : 0.008506, offset : 3285921792, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008583, offset : 3285909504, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008659, offset : 3285889024, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008736, offset : 3285876736, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008814, offset : 3285864448, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008900, offset : 3285852160, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.008982, offset : 3285839872, cur_bytes : 4096 , bytes : 4096, 
